DATE,OPEN,HIGH,LOW,CLOSE,ADJ. CLOSE,VOLUME
10-Jan-25,"10,823.00","10,920.00","10,525.00","10,570.00","10,570.00","10,908"
09-Jan-25,"11,103.00","11,513.00","10,605.00","10,927.00","10,927.00","10,908"
08-Jan-25,"11,009.00","11,315.00","10,345.00","10,453.00","10,453.00","10,690"
07-Jan-25,"11,291.00","11,568.00","11,164.00","11,210.00","11,210.00","5,582"
06-Jan-25,"11,423.00","11,882.00","11,066.00","11,377.00","11,377.00","8,022"
03-Jan-25,"11,195.00","11,623.00","11,029.00","11,238.00","11,238.00","4,917"
02-Jan-25,"11,632.00","11,743.00","10,802.00","11,137.00","11,137.00","6,414"
31-Dec-24,"11,219.00","11,820.00","11,153.00","11,675.00","11,675.00",-
30-Dec-24,"10,148.00","11,590.00","10,144.00","11,507.00","11,507.00","15,702"
27-Dec-24,"11,150.00","11,259.00","9,831.00","10,124.00","10,124.00","13,447"
26-Dec-24,"11,845.00","12,000.00","10,790.00","11,027.00","11,027.00","7,450"
24-Dec-24,"11,583.00","11,973.00","11,425.00","11,852.00","11,852.00",-
23-Dec-24,"11,870.00","12,050.00","11,527.00","11,746.00","11,746.00","7,294"
20-Dec-24,"11,848.00","12,360.00","11,419.00","11,954.00","11,954.00","12,140"
19-Dec-24,"12,553.00","12,780.00","11,648.00","12,107.00","12,107.00","13,974"
18-Dec-24,"11,966.00","12,931.00","11,935.00","12,565.00","12,565.00","17,589"
17-Dec-24,"11,743.00","11,977.00","11,527.00","11,765.00","11,765.00","12,489"
16-Dec-24,"11,300.00","11,925.00","11,290.00","11,821.00","11,821.00","14,298"
13-Dec-24,"11,181.00","11,181.00","11,181.00","11,181.00","11,181.00","12,773"
12-Dec-24,"10,702.00","10,702.00","10,702.00","10,702.00","10,702.00",-
11-Dec-24,"10,500.00","10,500.00","10,351.00","10,458.00","10,458.00",2
10-Dec-24,"10,286.00","10,366.00","10,200.00","10,387.00","10,387.00",20
09-Dec-24,"9,977.00","9,977.00","9,977.00","9,977.00","9,977.00",-
06-Dec-24,"9,800.00","9,880.00","9,624.00","9,767.00","9,767.00",6
05-Dec-24,"9,648.00","9,648.00","9,648.00","9,648.00","9,648.00",-
04-Dec-24,"9,196.00","9,196.00","9,196.00","9,196.00","9,196.00",-
03-Dec-24,"8,833.00","8,833.00","8,833.00","8,833.00","8,833.00",-
02-Dec-24,"9,197.00","9,197.00","9,197.00","9,197.00","9,197.00",-
29-Nov-24,"9,220.00","9,220.00","9,220.00","9,220.00","9,220.00",-
27-Nov-24,"8,844.00","8,844.00","8,844.00","8,844.00","8,844.00",2
